Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;-3.6056e-08;7.03876e-09;0.798213
4.5;0.04;0.00029;-2.66212e-08;5.70365e-09;0.813811
4.5;0.04;0.00067;-2.46928e-08;5.30423e-09;0.979527
4.5;0.1;0.00012;-3.89679e-08;9.70727e-09;0.732328
4.5;0.1;0.00029;-7.53865e-09;7.74089e-09;0.963098
4.5;0.1;0.00067;8.32151e-09;6.28968e-09;1.33419
4.5;0.2;0.00012;2.69794e-07;1.22027e-08;0.80694
4.5;0.2;0.00029;3.1525e-07;9.6111e-09;0.834006
4.5;0.2;0.00067;3.47661e-07;7.73287e-09;1.05189
4.5;0.4;0.00012;1.81234e-05;1.60088e-08;0.474013
4.5;0.4;0.00029;1.34651e-05;1.23473e-08;0.9281
4.5;0.4;0.00067;1.0251e-05;1.01045e-08;0.885759
4.5;0.4;0.0016;7.82945e-06;8.09247e-09;0.649
4.5;0.65;0.00012;0.000160344;2.26823e-08;0.557453
4.5;0.65;0.00029;0.000120311;1.75868e-08;1.09606
4.5;0.65;0.00067;9.19468e-05;1.39317e-08;1.60456
4.5;0.65;0.0016;6.99423e-05;1.10019e-08;1.54691
4.5;0.9;0.00029;0.000429618;3.20158e-08;2.47462
4.5;0.9;0.00067;0.000332769;2.52478e-08;3.03267
4.5;0.9;0.0016;0.00025785;1.99744e-08;2.92818
