Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;1.4789e-06;2.08142e-08;0.577424
4.5;0.04;0.00029;1.20655e-06;1.72052e-08;0.486298
4.5;0.04;0.00067;1.13266e-06;1.61283e-08;0.414423
4.5;0.1;0.00012;1.21786e-05;2.80938e-08;0.633666
4.5;0.1;0.00029;9.5493e-06;2.28028e-08;0.447665
4.5;0.1;0.00067;7.70535e-06;1.90072e-08;0.512869
4.5;0.2;0.00012;5.53903e-05;3.59236e-08;1.01398
4.5;0.2;0.00029;4.31771e-05;2.88954e-08;0.572047
4.5;0.2;0.00067;3.44941e-05;2.37299e-08;0.435746
4.5;0.4;0.00012;0.00019793;4.76193e-08;1.74491
4.5;0.4;0.00029;0.000155049;3.79443e-08;1.79109
4.5;0.4;0.00067;0.000124322;3.09036e-08;1.29892
4.5;0.4;0.0016;0.000100238;2.54453e-08;1.4767
4.5;0.65;0.00012;0.000330533;5.67637e-08;0.614508
4.5;0.65;0.00029;0.000262779;4.51135e-08;0.612358
4.5;0.65;0.00067;0.000213321;3.66382e-08;0.557607
4.5;0.65;0.0016;0.000173636;2.99483e-08;0.458695
4.5;0.9;0.00029;0.000196924;5.54946e-08;0.12859
4.5;0.9;0.00067;0.000163896;4.48125e-08;0.319268
4.5;0.9;0.0016;0.000137304;3.64468e-08;0.525442
