Q2 (GeV);x;sigma (mb);sigma error (mb)
8;0.00239503;6.36288e-06;4.74918e-09
8;0.0030392;5.81009e-06;4.35637e-09
8;0.00385662;5.31806e-06;4.00704e-09
8;0.0048939;4.86494e-06;3.69889e-09
8;0.00621017;4.44939e-06;3.35123e-09
8;0.00788046;4.06818e-06;3.07611e-09
8;0.01;3.71599e-06;2.81436e-09
10;1e-05;5.02007e-05;3.68753e-08
10;1.26896e-05;4.58265e-05;3.37932e-08
10;1.61026e-05;4.18314e-05;3.05124e-08
10;2.04336e-05;3.81446e-05;2.78127e-08
10;2.59294e-05;3.48623e-05;2.55378e-08
10;3.29034e-05;3.18456e-05;2.33156e-08
10;4.17532e-05;2.90671e-05;2.12626e-08
10;5.29832e-05;2.65106e-05;1.94459e-08
10;6.72336e-05;2.41601e-05;1.77468e-08
10;8.53168e-05;2.20754e-05;1.63064e-08
10;0.000108264;2.01586e-05;1.49054e-08
10;0.000137382;1.8389e-05;1.36287e-08
10;0.000174333;1.677e-05;1.24539e-08
10;0.000221222;1.52802e-05;1.13648e-08
10;0.000280722;1.39464e-05;1.04005e-08
10;0.000356225;1.27349e-05;9.52745e-09
10;0.000452035;1.16215e-05;8.73667e-09
10;0.000573615;1.05952e-05;7.9649e-09
10;0.000727895;9.65658e-06;7.26116e-09
10;0.000923671;8.80746e-06;6.65296e-09
10;0.0011721;8.04514e-06;6.07758e-09
10;0.00148735;7.34334e-06;5.56445e-09
10;0.00188739;6.69732e-06;5.05683e-09
10;0.00239503;6.10609e-06;4.64224e-09
10;0.0030392;5.56851e-06;4.2139e-09
10;0.00385662;5.08917e-06;3.83798e-09
10;0.0048939;4.64893e-06;3.50985e-09
10;0.00621017;4.24397e-06;3.16673e-09
10;0.00788046;3.87291e-06;2.95e-09
10;0.01;3.53244e-06;2.6757e-09
