Q2 (GeV);x;sigma (mb);sigma error (mb)
3;3.05386e-05;8.0266e-08;1.65787e-12
3;3.3516e-05;7.80282e-08;1.64882e-12
3;3.67838e-05;7.58429e-08;1.61217e-12
3;4.03702e-05;7.3709e-08;1.61892e-12
3;4.43062e-05;7.16258e-08;1.57149e-12
3;4.8626e-05;6.95927e-08;1.52887e-12
3;5.3367e-05;6.76088e-08;1.49236e-12
3;5.85702e-05;6.56734e-08;1.4423e-12
3;6.42807e-05;6.37857e-08;1.396e-12
3;7.0548e-05;6.19449e-08;1.3542e-12
3;7.74264e-05;6.01502e-08;1.31753e-12
3;8.49753e-05;5.84008e-08;1.28474e-12
3;9.32603e-05;5.66959e-08;1.25178e-12
3;0.000102353;5.50348e-08;1.19919e-12
3;0.000112332;5.34165e-08;1.15108e-12
3;0.000123285;5.18403e-08;1.06116e-12
3;0.000135305;5.03054e-08;1.05771e-12
3;0.000148497;4.88111e-08;1.03569e-12
3;0.000162975;4.73563e-08;1.0332e-12
3;0.000178865;4.59405e-08;1.01043e-12
3;0.000196304;4.45629e-08;9.56134e-13
3;0.000215443;4.32225e-08;9.27029e-13
3;0.000236449;4.19185e-08;9.14125e-13
3;0.000259502;4.06503e-08;8.93055e-13
3;0.000284804;3.94171e-08;8.44617e-13
3;0.000312572;3.82179e-08;8.24863e-13
3;0.000343047;3.70521e-08;8.09534e-13
3;0.000376494;3.5919e-08;7.7875e-13
3;0.000413201;3.48178e-08;7.61068e-13
3;0.000453488;3.37477e-08;7.39381e-13
3;0.000497702;3.2708e-08;7.13485e-13
3;0.000546228;3.16979e-08;6.88628e-13
3;0.000599484;3.07169e-08;6.65595e-13
3;0.000657933;2.97641e-08;6.52344e-13
3;0.000722081;2.88389e-08;6.31652e-13
3;0.000792483;2.79406e-08;6.03632e-13
3;0.000869749;2.70685e-08;5.87917e-13
3;0.000954548;2.62219e-08;5.6168e-13
3;0.00104762;2.54002e-08;5.57794e-13
3;0.00114976;2.46028e-08;5.43375e-13
3;0.00126186;2.38291e-08;5.26854e-13
3;0.00138489;2.30783e-08;5.10128e-13
3;0.00151991;2.23499e-08;4.93228e-13
3;0.0016681;2.16434e-08;4.74756e-13
3;0.00183074;2.09581e-08;4.49644e-13
3;0.00200923;2.02934e-08;4.40741e-13
3;0.00220513;1.96489e-08;4.28479e-13
3;0.00242013;1.90238e-08;4.16558e-13
3;0.00265609;1.84178e-08;4.04031e-13
3;0.00291505;1.78303e-08;3.90452e-13
3;0.00319927;1.72607e-08;3.77417e-13
3;0.00351119;1.67086e-08;3.65953e-13
3;0.00385353;1.61734e-08;3.52653e-13
3;0.00422924;1.56548e-08;3.37032e-13
3;0.00464159;1.51521e-08;3.25511e-13
3;0.00509414;1.46651e-08;3.19682e-13
3;0.00559081;1.41932e-08;3.0568e-13
3;0.00613591;1.37358e-08;3.0889e-13
3;0.00673415;1.32929e-08;2.9306e-13
3;0.00739072;1.28638e-08;2.69749e-13
3;0.00811131;1.2448e-08;2.68519e-13
3;0.00890215;1.20453e-08;2.60597e-13
