Q2 (GeV);x;sigma (mb);sigma error (mb)
3;3.05386e-05;8.40105e-07;1.34282e-11
3;3.3516e-05;8.16163e-07;1.30444e-11
3;3.67838e-05;7.92811e-07;1.26692e-11
3;4.03702e-05;7.70038e-07;1.23039e-11
3;4.43062e-05;7.47834e-07;1.19481e-11
3;4.8626e-05;7.2619e-07;1.16e-11
3;5.3367e-05;7.05094e-07;1.12615e-11
3;5.85702e-05;6.84537e-07;1.09318e-11
3;6.42807e-05;6.6451e-07;1.06106e-11
3;7.0548e-05;6.45001e-07;1.02973e-11
3;7.74264e-05;6.25996e-07;1.0446e-11
3;8.49753e-05;6.07501e-07;1.02001e-11
3;9.32603e-05;5.89484e-07;9.47471e-12
3;0.000102353;5.71952e-07;8.63936e-12
3;0.000112332;5.54881e-07;7.94205e-12
3;0.000123285;5.38276e-07;7.29515e-12
3;0.000135305;5.22122e-07;7.35175e-12
3;0.000148497;5.06404e-07;7.12093e-12
3;0.000162975;4.91116e-07;6.76055e-12
3;0.000178865;4.76248e-07;6.54402e-12
3;0.000196304;4.61793e-07;6.35436e-12
3;0.000215443;4.47739e-07;6.37093e-12
3;0.000236449;4.34079e-07;6.4687e-12
3;0.000259502;4.20801e-07;6.47485e-12
3;0.000284804;4.07899e-07;6.16397e-12
3;0.000312572;3.95363e-07;5.95036e-12
3;0.000343047;3.83182e-07;5.58328e-12
3;0.000376494;3.7135e-07;5.32094e-12
3;0.000413201;3.59858e-07;5.06356e-12
3;0.000453488;3.48698e-07;5.025e-12
3;0.000497702;3.37861e-07;4.88246e-12
3;0.000546228;3.2734e-07;4.75094e-12
3;0.000599484;3.17126e-07;4.59787e-12
3;0.000657933;3.07211e-07;4.39278e-12
3;0.000722081;2.97589e-07;4.26893e-12
3;0.000792483;2.8825e-07;4.13485e-12
3;0.000869749;2.79188e-07;3.99249e-12
3;0.000954548;2.70396e-07;3.83405e-12
3;0.00104762;2.61867e-07;3.73236e-12
3;0.00114976;2.53592e-07;3.63025e-12
3;0.00126186;2.45567e-07;3.51773e-12
3;0.00138489;2.37783e-07;3.34209e-12
3;0.00151991;2.30235e-07;3.3098e-12
3;0.0016681;2.22915e-07;3.15328e-12
3;0.00183074;2.15818e-07;3.17714e-12
3;0.00200923;2.08938e-07;3.17166e-12
3;0.00220513;2.02267e-07;3.07974e-12
3;0.00242013;1.95801e-07;3.02455e-12
3;0.00265609;1.89532e-07;2.90117e-12
3;0.00291505;1.83459e-07;2.53735e-12
3;0.00319927;1.77572e-07;2.52898e-12
3;0.00351119;1.71867e-07;2.347e-12
3;0.00385353;1.6634e-07;2.27467e-12
3;0.00422924;1.60984e-07;2.29554e-12
