Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00213958;1.12892e-06
2.500000;1.1514e-05;0.00208209;1.09788e-06
2.500000;1.32571e-05;0.00202687;1.06599e-06
2.500000;1.52642e-05;0.00197427;1.03524e-06
2.500000;1.75751e-05;0.00192214;1.00835e-06
2.500000;2.02359e-05;0.00186947;9.80458e-07
2.500000;2.32995e-05;0.00182113;9.55208e-07
2.500000;2.6827e-05;0.00177328;9.30614e-07
2.500000;3.08884e-05;0.00172466;9.04967e-07
2.500000;3.55648e-05;0.00167893;8.7889e-07
2.500000;4.09492e-05;0.00163503;8.57495e-07
2.500000;4.71487e-05;0.00159036;8.33492e-07
2.500000;5.42868e-05;0.00154693;8.10495e-07
2.500000;6.25055e-05;0.0015062;7.89744e-07
2.500000;7.19686e-05;0.00146592;7.65573e-07
2.500000;8.28643e-05;0.00142508;7.3806e-07
2.500000;9.54095e-05;0.00138743;7.16213e-07
2.500000;0.000109854;0.00135054;6.9642e-07
2.500000;0.000126486;0.00131301;6.76398e-07
2.500000;0.000145635;0.00127737;6.56675e-07
2.500000;0.000167683;0.00124315;6.45921e-07
2.500000;0.00019307;0.00120936;6.31194e-07
2.500000;0.0002223;0.00117531;6.13066e-07
2.500000;0.000255955;0.00114409;5.96902e-07
2.500000;0.000294705;0.00111323;5.79868e-07
2.500000;0.000339322;0.00108188;5.61544e-07
2.500000;0.000390694;0.00105256;5.45487e-07
2.500000;0.000449843;0.00102428;5.29875e-07
2.500000;0.000517947;0.000995584;5.13782e-07
2.500000;0.000596362;0.0009678;4.98501e-07
2.500000;0.000686649;0.000941624;4.83872e-07
2.500000;0.000790604;0.000915798;4.7077e-07
2.500000;0.000910298;0.000889494;4.56674e-07
2.500000;0.00104811;0.000865588;4.44209e-07
2.500000;0.00120679;0.000842061;4.31183e-07
2.500000;0.0013895;0.000818043;4.18545e-07
2.500000;0.00159986;0.0007954;4.07056e-07
2.500000;0.00184207;0.000773539;3.95367e-07
2.500000;0.00212095;0.000751989;3.83473e-07
2.500000;0.00244205;0.000730364;3.72308e-07
2.500000;0.00281177;0.000710491;3.61822e-07
2.500000;0.00323746;0.000690839;3.51163e-07
2.500000;0.00372759;0.000670841;3.4051e-07
2.500000;0.00429193;0.000652274;3.30948e-07
2.500000;0.00494171;0.000634282;3.21576e-07
2.500000;0.00568987;0.000616002;3.12337e-07
2.500000;0.00655129;0.000598394;3.02862e-07
2.500000;0.00754312;0.000581823;2.93853e-07
2.500000;0.00868511;0.000565377;2.85194e-07
2.500000;0.01;0.00054863;2.76566e-07
