Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.0218199;1.30175e-05
2.500000;1.1514e-05;0.021131;1.26311e-05
2.500000;1.32571e-05;0.0204751;1.22687e-05
2.500000;1.52642e-05;0.0198487;1.19118e-05
2.500000;1.75751e-05;0.0192504;1.15714e-05
2.500000;2.02359e-05;0.018631;1.12084e-05
2.500000;2.32995e-05;0.0180626;1.08474e-05
2.500000;2.6827e-05;0.017518;1.04664e-05
2.500000;3.08884e-05;0.0169569;1.02427e-05
2.500000;3.55648e-05;0.0164268;1.01113e-05
2.500000;4.09492e-05;0.0159374;9.86332e-06
2.500000;4.71487e-05;0.0154258;9.52301e-06
2.500000;5.42868e-05;0.0149291;9.19777e-06
2.500000;6.25055e-05;0.0144682;8.89919e-06
2.500000;7.19686e-05;0.0140225;8.69454e-06
2.500000;8.28643e-05;0.0135619;8.39767e-06
2.500000;9.54095e-05;0.0131403;8.08783e-06
2.500000;0.000109854;0.012739;7.86343e-06
2.500000;0.000126486;0.012323;7.5856e-06
2.500000;0.000145635;0.0119289;7.18501e-06
2.500000;0.000167683;0.0115524;6.93931e-06
2.500000;0.00019307;0.0111924;6.87563e-06
2.500000;0.0002223;0.0108202;6.59994e-06
2.500000;0.000255955;0.0104802;6.41274e-06
2.500000;0.000294705;0.0101528;6.22424e-06
2.500000;0.000339322;0.00981336;5.98795e-06
2.500000;0.000390694;0.00949836;5.75806e-06
2.500000;0.000449843;0.00920377;5.6037e-06
2.500000;0.000517947;0.00889721;5.42499e-06
2.500000;0.000596362;0.00860165;5.26395e-06
2.500000;0.000686649;0.00832538;5.1132e-06
2.500000;0.000790604;0.00805996;4.97993e-06
2.500000;0.000910298;0.00778434;4.8144e-06
2.500000;0.00104811;0.00753235;4.65606e-06
2.500000;0.00120679;0.00729312;4.51871e-06
2.500000;0.0013895;0.00704346;4.36183e-06
2.500000;0.00159986;0.00680907;4.22813e-06
2.500000;0.00184207;0.0065849;4.09506e-06
2.500000;0.00212095;0.0063702;3.98141e-06
2.500000;0.00244205;0.00614959;3.84679e-06
2.500000;0.00281177;0.00594723;3.72377e-06
2.500000;0.00323746;0.00575395;3.61436e-06
2.500000;0.00372759;0.00555192;3.48922e-06
2.500000;0.00429193;0.0053653;3.36773e-06
2.500000;0.00494171;0.00519084;3.2712e-06
2.500000;0.00568987;0.00500873;3.15463e-06
2.500000;0.00655129;0.00483491;3.05158e-06
2.500000;0.00754312;0.00467033;2.95601e-06
2.500000;0.00868511;0.00451331;2.86519e-06
2.500000;0.01;0.00435029;2.76313e-06
