Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;4.94062e-09;2.30614e-09;0.519506
4.5;0.04;0.00029;1.72164e-09;2.29058e-09;0.208889
4.5;0.04;0.00067;2.44051e-09;1.85053e-09;0.740817
4.5;0.1;0.00012;2.98043e-08;3.38008e-09;0.307951
4.5;0.1;0.00029;2.71822e-08;2.53484e-09;0.732041
4.5;0.1;0.00067;2.24178e-08;2.43916e-09;0.422453
4.5;0.2;0.00012;2.20119e-07;5.5811e-09;1.53982
4.5;0.2;0.00029;1.81731e-07;3.8536e-09;1.06749
4.5;0.2;0.00067;1.4883e-07;3.79885e-09;0.682472
4.5;0.4;0.00012;3.40032e-06;9.37128e-09;4.43465
4.5;0.4;0.00029;2.49425e-06;6.24991e-09;0.688831
4.5;0.4;0.00067;1.86834e-06;4.01886e-09;0.34799
4.5;0.4;0.0016;1.40329e-06;4.04584e-09;2.2676
4.5;0.65;0.00012;1.87967e-05;1.04224e-08;2.69011
4.5;0.65;0.00029;1.3966e-05;8.79981e-09;2.80485
4.5;0.65;0.00067;1.0559e-05;6.83196e-09;1.107
4.5;0.65;0.0016;7.92862e-06;4.71641e-09;4.40425
4.5;0.9;0.00029;3.83026e-05;1.03442e-08;1.157
4.5;0.9;0.00067;2.92729e-05;8.88407e-09;1.80497
4.5;0.9;0.0016;2.23656e-05;8.5004e-09;0.198362
