Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.04;0.00012;1.97818e-07;1.12272e-08;0.282491
4.5;0.04;0.00029;1.61873e-07;8.68324e-09;1.25003
4.5;0.04;0.00067;1.46479e-07;6.47135e-09;0.761625
4.5;0.1;0.00012;1.41298e-06;1.44811e-08;0.474381
4.5;0.1;0.00029;1.05091e-06;1.47751e-08;0.392324
4.5;0.1;0.00067;8.23656e-07;1.3824e-08;1.00369
4.5;0.2;0.00012;5.66659e-06;1.931e-08;2.32731
4.5;0.2;0.00029;4.33579e-06;1.42441e-08;1.68134
4.5;0.2;0.00067;3.36719e-06;1.91881e-08;0.991807
4.5;0.4;0.00012;1.76008e-05;3.3186e-08;1.66485
4.5;0.4;0.00029;1.34768e-05;2.05996e-08;2.41402
4.5;0.4;0.00067;1.06222e-05;2.16098e-08;0.30814
4.5;0.4;0.0016;8.34025e-06;1.89561e-08;1.60822
4.5;0.65;0.00012;2.75252e-05;3.27168e-08;1.21493
4.5;0.65;0.00029;2.14037e-05;6.34601e-08;0.751998
4.5;0.65;0.00067;1.68557e-05;2.78752e-08;0.811899
4.5;0.65;0.0016;1.33106e-05;1.84652e-08;0.031036
4.5;0.9;0.00029;1.89945e-05;4.11349e-08;0.563844
4.5;0.9;0.00067;1.50286e-05;2.80144e-08;4.51216
4.5;0.9;0.0016;1.18947e-05;2.15466e-08;9.02536
