Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
28;0.9;0.0133;3.30867e-06;3.40899e-10;2.2888
28;0.9;0.0237;3.30867e-06;3.40899e-10;2.2888
45;0.04;0.00133;-2.8415e-10;9.70983e-11;0.668054
45;0.1;0.00133;-7.12551e-11;1.06317e-10;1.53255
45;0.1;0.00237;-9.62128e-11;8.91832e-11;1.20157
45;0.2;0.00133;-7.06822e-10;1.11112e-10;1.15183
45;0.2;0.00237;-2.07802e-10;9.19024e-11;1.43871
45;0.2;0.00421;1.65924e-10;7.61651e-11;2.38166
45;0.2;0.0075;4.06309e-10;6.2448e-11;2.3378
45;0.4;0.00133;-3.43651e-09;1.21544e-10;1.4447
45;0.4;0.00237;-1.95697e-09;1.03062e-10;1.49656
45;0.4;0.00421;-7.8094e-10;8.42355e-11;0.968801
45;0.4;0.0075;2.16899e-10;6.8268e-11;1.02476
45;0.4;0.0133;6.3027e-10;6.25323e-11;0.767165
45;0.65;0.00133;3.75537e-07;1.33942e-10;1.14025
45;0.65;0.00237;2.92058e-07;1.10238e-10;0.77835
45;0.65;0.00421;2.27169e-07;8.72869e-11;0.702151
45;0.65;0.0075;1.76414e-07;7.20901e-11;0.712827
45;0.65;0.0133;1.5514e-07;6.44556e-11;0.728692
45;0.65;0.0237;1.5514e-07;6.44556e-11;0.728692
45;0.9;0.00237;1.93414e-06;1.99274e-10;1.86772
45;0.9;0.00421;1.54177e-06;1.62243e-10;2.65
45;0.9;0.0075;1.22739e-06;1.32346e-10;2.28415
45;0.9;0.0133;1.09364e-06;1.20175e-10;2.18404
45;0.9;0.0237;1.09364e-06;1.20175e-10;2.18404
75;0.1;0.00237;4.11876e-12;2.80421e-11;1.01798
75;0.1;0.00421;-2.19008e-11;2.31855e-11;1.32313
75;0.2;0.00237;5.38299e-11;3.13871e-11;2.36493
75;0.2;0.00421;1.16462e-10;2.4784e-11;2.86141
75;0.2;0.0075;1.38379e-10;1.99652e-11;2.43209
75;0.4;0.00237;-2.24181e-09;3.1522e-11;1.39837
