Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
4.5;0.1;0.00067;1.44123e-05;3.24675e-08;0.640817
4.5;0.2;0.00012;8.98165e-05;5.51525e-08;0.667672
4.5;0.2;0.00029;6.86989e-05;4.33823e-08;1.10036
4.5;0.2;0.00067;5.37177e-05;3.4974e-08;0.927866
4.5;0.4;0.00012;0.000257194;6.10071e-08;1.59297
4.5;0.4;0.00029;0.000199776;4.8037e-08;1.69854
4.5;0.4;0.00067;0.000158523;3.87402e-08;1.59813
4.5;0.4;0.0016;0.000125857;3.12514e-08;1.27437
4.5;0.65;0.00012;0.000371398;6.3779e-08;0.578193
4.5;0.65;0.00029;0.000293656;5.04239e-08;0.581138
4.5;0.65;0.00067;0.000237149;4.07108e-08;0.749242
4.5;0.65;0.0016;0.00019195;3.30199e-08;0.405404
4.5;0.9;0.00029;0.000201623;5.70711e-08;0.225433
4.5;0.9;0.00067;0.000167741;4.60991e-08;0.335178
4.5;0.9;0.0016;0.000140199;3.73018e-08;0.428648
