Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00131152;8.76887e-07
2.500000;1.1514e-05;0.00127143;8.49653e-07
2.500000;1.32571e-05;0.00123316;8.17547e-07
2.500000;1.52642e-05;0.00119682;7.94485e-07
2.500000;1.75751e-05;0.00116176;7.71781e-07
2.500000;2.02359e-05;0.00112568;7.48356e-07
2.500000;2.32995e-05;0.00109275;7.27532e-07
2.500000;2.6827e-05;0.001061;7.07571e-07
2.500000;3.08884e-05;0.00102799;6.8635e-07
2.500000;3.55648e-05;0.000997139;6.66877e-07
2.500000;4.09492e-05;0.0009684;6.48118e-07
2.500000;4.71487e-05;0.000938488;6.29523e-07
2.500000;5.42868e-05;0.000909409;6.11942e-07
2.500000;6.25055e-05;0.000882364;5.93692e-07
2.500000;7.19686e-05;0.000856508;5.76396e-07
2.500000;8.28643e-05;0.000829415;5.58276e-07
2.500000;9.54095e-05;0.000804589;5.41058e-07
2.500000;0.000109854;0.000780913;5.25455e-07
2.500000;0.000126486;0.00075641;5.09007e-07
2.500000;0.000145635;0.000733084;4.93031e-07
2.500000;0.000167683;0.000710767;4.79006e-07
2.500000;0.00019307;0.000689401;4.65801e-07
2.500000;0.0002223;0.000667529;4.45859e-07
2.500000;0.000255955;0.00064737;4.31271e-07
2.500000;0.000294705;0.000628034;4.19948e-07
2.500000;0.000339322;0.000607959;4.06786e-07
2.500000;0.000390694;0.000589204;3.94938e-07
2.500000;0.000449843;0.000571652;3.83736e-07
2.500000;0.000517947;0.000553521;3.72867e-07
2.500000;0.000596362;0.000535895;3.62877e-07
2.500000;0.000686649;0.000519375;3.51945e-07
2.500000;0.000790604;0.000503601;3.427e-07
2.500000;0.000910298;0.000487176;3.31788e-07
2.500000;0.00104811;0.000472191;3.2211e-07
2.500000;0.00120679;0.0004579;3.13352e-07
2.500000;0.0013895;0.000442958;3.03357e-07
2.500000;0.00159986;0.000428866;2.93675e-07
2.500000;0.00184207;0.000415363;2.84469e-07
2.500000;0.00212095;0.000402387;2.76781e-07
2.500000;0.00244205;0.000389142;2.67873e-07
2.500000;0.00281177;0.000376963;2.59415e-07
2.500000;0.00323746;0.000365272;2.52501e-07
2.500000;0.00372759;0.00035306;2.43974e-07
2.500000;0.00429193;0.000341758;2.35824e-07
2.500000;0.00494171;0.000331204;2.28851e-07
2.500000;0.00568987;0.000320212;2.21012e-07
2.500000;0.00655129;0.00030961;2.1379e-07
2.500000;0.00754312;0.000299678;2.06725e-07
2.500000;0.00868511;0.000290094;2.00976e-07
2.500000;0.01;0.000280165;1.94504e-07
