Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00131208;8.41636e-07
2.500000;1.1514e-05;0.00127202;8.16597e-07
2.500000;1.32571e-05;0.0012337;7.9231e-07
2.500000;1.52642e-05;0.00119738;7.70031e-07
2.500000;1.75751e-05;0.0011623;7.47963e-07
2.500000;2.02359e-05;0.00112608;7.24848e-07
2.500000;2.32995e-05;0.0010931;7.06108e-07
2.500000;2.6827e-05;0.00106142;6.86951e-07
2.500000;3.08884e-05;0.00102856;6.67173e-07
2.500000;3.55648e-05;0.000997606;6.47111e-07
2.500000;4.09492e-05;0.000968913;6.29588e-07
2.500000;4.71487e-05;0.000938898;6.11044e-07
2.500000;5.42868e-05;0.000909727;5.92288e-07
2.500000;6.25055e-05;0.000882653;5.74891e-07
2.500000;7.19686e-05;0.000856563;5.58808e-07
2.500000;8.28643e-05;0.000829504;5.41551e-07
2.500000;9.54095e-05;0.000804674;5.26043e-07
2.500000;0.000109854;0.000781046;5.12513e-07
2.500000;0.000126486;0.000756499;4.95399e-07
2.500000;0.000145635;0.000733096;4.82198e-07
2.500000;0.000167683;0.000710875;4.67266e-07
2.500000;0.00019307;0.000689552;4.54786e-07
2.500000;0.0002223;0.000667608;4.39223e-07
2.500000;0.000255955;0.000647499;4.25624e-07
2.500000;0.000294705;0.000628143;4.148e-07
2.500000;0.000339322;0.000608022;4.01861e-07
2.500000;0.000390694;0.000589274;3.8901e-07
2.500000;0.000449843;0.000571768;3.78155e-07
2.500000;0.000517947;0.000553512;3.66193e-07
2.500000;0.000596362;0.000535842;3.55028e-07
2.500000;0.000686649;0.000519353;3.4416e-07
2.500000;0.000790604;0.000503575;3.34506e-07
2.500000;0.000910298;0.000487191;3.2433e-07
2.500000;0.00104811;0.000472154;3.14606e-07
2.500000;0.00120679;0.000457788;3.06103e-07
2.500000;0.0013895;0.000442866;2.95729e-07
2.500000;0.00159986;0.000428883;2.86763e-07
2.500000;0.00184207;0.000415331;2.781e-07
2.500000;0.00212095;0.000402391;2.70275e-07
2.500000;0.00244205;0.00038917;2.61224e-07
2.500000;0.00281177;0.000376923;2.53495e-07
2.500000;0.00323746;0.000365245;2.46474e-07
2.500000;0.00372759;0.000353086;2.38483e-07
2.500000;0.00429193;0.000341802;2.30712e-07
2.500000;0.00494171;0.000331223;2.24072e-07
2.500000;0.00568987;0.000320222;2.16836e-07
2.500000;0.00655129;0.000309645;2.09827e-07
2.500000;0.00754312;0.000299697;2.03142e-07
2.500000;0.00868511;0.000290151;1.97729e-07
2.500000;0.01;0.000280211;1.90927e-07
