Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00131089;8.88316e-07
2.500000;1.1514e-05;0.0012709;8.63504e-07
2.500000;1.32571e-05;0.00123261;8.37603e-07
2.500000;1.52642e-05;0.00119653;8.13752e-07
2.500000;1.75751e-05;0.00116136;7.93145e-07
2.500000;2.02359e-05;0.00112534;7.65344e-07
2.500000;2.32995e-05;0.00109244;7.43616e-07
2.500000;2.6827e-05;0.00106081;7.22464e-07
2.500000;3.08884e-05;0.00102784;7.01085e-07
2.500000;3.55648e-05;0.000997038;6.7969e-07
2.500000;4.09492e-05;0.000968239;6.61914e-07
2.500000;4.71487e-05;0.000938347;6.40224e-07
2.500000;5.42868e-05;0.00090935;6.2313e-07
2.500000;6.25055e-05;0.000882139;6.02257e-07
2.500000;7.19686e-05;0.000856107;5.82376e-07
2.500000;8.28643e-05;0.000829002;5.63558e-07
2.500000;9.54095e-05;0.000804242;5.49191e-07
2.500000;0.000109854;0.000780642;5.32438e-07
2.500000;0.000126486;0.000756052;5.1603e-07
2.500000;0.000145635;0.000732805;4.99785e-07
2.500000;0.000167683;0.000710609;4.85063e-07
2.500000;0.00019307;0.0006892;4.71119e-07
2.500000;0.0002223;0.000667319;4.55931e-07
2.500000;0.000255955;0.000647273;4.42488e-07
2.500000;0.000294705;0.000627976;4.30584e-07
2.500000;0.000339322;0.000607847;4.16494e-07
2.500000;0.000390694;0.000589088;4.04018e-07
2.500000;0.000449843;0.000571757;3.93494e-07
2.500000;0.000517947;0.000553421;3.8248e-07
2.500000;0.000596362;0.000535859;3.70984e-07
2.500000;0.000686649;0.000519424;3.59598e-07
2.500000;0.000790604;0.000503567;3.49786e-07
2.500000;0.000910298;0.000487131;3.38451e-07
2.500000;0.00104811;0.000472116;3.26993e-07
2.500000;0.00120679;0.000457829;3.17082e-07
2.500000;0.0013895;0.000442895;3.05875e-07
2.500000;0.00159986;0.000428803;2.95204e-07
2.500000;0.00184207;0.000415296;2.84871e-07
2.500000;0.00212095;0.00040236;2.76369e-07
2.500000;0.00244205;0.000389135;2.67765e-07
2.500000;0.00281177;0.000376923;2.59611e-07
2.500000;0.00323746;0.000365227;2.52236e-07
2.500000;0.00372759;0.000352972;2.43951e-07
2.500000;0.00429193;0.000341683;2.36109e-07
2.500000;0.00494171;0.00033111;2.29878e-07
2.500000;0.00568987;0.000320083;2.22359e-07
2.500000;0.00655129;0.000309518;2.15152e-07
2.500000;0.00754312;0.000299563;2.08914e-07
2.500000;0.00868511;0.000289981;2.02732e-07
2.500000;0.01;0.000280056;1.96003e-07
