Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00131122;8.85306e-07
2.500000;1.1514e-05;0.00127121;8.57979e-07
2.500000;1.32571e-05;0.00123307;8.32447e-07
2.500000;1.52642e-05;0.00119667;8.08703e-07
2.500000;1.75751e-05;0.00116165;7.86835e-07
2.500000;2.02359e-05;0.00112555;7.63253e-07
2.500000;2.32995e-05;0.00109273;7.4166e-07
2.500000;2.6827e-05;0.00106095;7.21256e-07
2.500000;3.08884e-05;0.00102798;6.98622e-07
2.500000;3.55648e-05;0.000997084;6.78514e-07
2.500000;4.09492e-05;0.000968323;6.59804e-07
2.500000;4.71487e-05;0.000938411;6.39144e-07
2.500000;5.42868e-05;0.000909405;6.19134e-07
2.500000;6.25055e-05;0.000882283;6.01269e-07
2.500000;7.19686e-05;0.000856183;5.85227e-07
2.500000;8.28643e-05;0.00082915;5.6711e-07
2.500000;9.54095e-05;0.000804293;5.49115e-07
2.500000;0.000109854;0.0007807;5.34505e-07
2.500000;0.000126486;0.000756085;5.16691e-07
2.500000;0.000145635;0.000732834;4.9944e-07
2.500000;0.000167683;0.000710763;4.84993e-07
2.500000;0.00019307;0.000689477;4.7223e-07
2.500000;0.0002223;0.000667435;4.56889e-07
2.500000;0.000255955;0.000647365;4.42801e-07
2.500000;0.000294705;0.000628005;4.305e-07
2.500000;0.000339322;0.00060794;4.1633e-07
2.500000;0.000390694;0.000589181;4.03018e-07
2.500000;0.000449843;0.000571702;3.92115e-07
2.500000;0.000517947;0.0005535;3.79571e-07
2.500000;0.000596362;0.000535851;3.69138e-07
2.500000;0.000686649;0.000519373;3.57566e-07
2.500000;0.000790604;0.000503555;3.47238e-07
2.500000;0.000910298;0.000487119;3.36309e-07
2.500000;0.00104811;0.000472231;3.25334e-07
2.500000;0.00120679;0.000457825;3.15591e-07
2.500000;0.0013895;0.000442829;3.05066e-07
2.500000;0.00159986;0.000428744;2.95396e-07
2.500000;0.00184207;0.000415239;2.8608e-07
2.500000;0.00212095;0.000402301;2.78163e-07
2.500000;0.00244205;0.000389044;2.69101e-07
2.500000;0.00281177;0.000376887;2.60012e-07
2.500000;0.00323746;0.000365141;2.5299e-07
2.500000;0.00372759;0.00035293;2.44552e-07
2.500000;0.00429193;0.000341641;2.39345e-07
2.500000;0.00494171;0.000331087;2.32332e-07
2.500000;0.00568987;0.000320172;2.22989e-07
2.500000;0.00655129;0.000309537;2.16149e-07
2.500000;0.00754312;0.000299585;2.08718e-07
2.500000;0.00868511;0.000290037;2.03543e-07
2.500000;0.01;0.000280078;1.95309e-07
