Q2 (GeV);x;sigma (mb);sigma error (mb)
10;2.04336e-05;0.00184344;1.31046e-06
10;2.59294e-05;0.00174916;1.2432e-06
10;3.29034e-05;0.00165903;1.18716e-06
10;4.17532e-05;0.00157051;1.12284e-06
10;5.29832e-05;0.001488;1.06488e-06
10;6.72336e-05;0.00140833;1.00433e-06
10;8.53168e-05;0.00133475;9.58008e-07
10;0.000108264;0.00126469;9.17625e-07
10;0.000137382;0.00119573;8.69985e-07
10;0.000174333;0.00113152;8.23651e-07
10;0.000221222;0.00106998;7.84058e-07
10;0.000280722;0.0010127;7.41059e-07
10;0.000356225;0.000958562;7.00787e-07
10;0.000452035;0.000906745;6.63727e-07
10;0.000573615;0.000855623;6.24418e-07
10;0.000727895;0.000808123;5.88841e-07
10;0.000923671;0.000763523;5.51017e-07
10;0.0011721;0.00072165;5.20938e-07
10;0.00148735;0.00068153;4.9233e-07
10;0.00188739;0.000641966;4.62218e-07
10;0.00239503;0.000604768;4.54325e-07
10;0.0030392;0.000570591;4.12944e-07
10;0.00385662;0.000538495;3.85205e-07
10;0.0048939;0.000507637;3.63708e-07
10;0.00621017;0.000477335;3.42397e-07
10;0.00788046;0.000448955;3.24945e-07
10;0.01;0.000422128;3.04109e-07
