Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
12;0.04;0.00024;4.12364e-07;8.51953e-09;1.22669
12;0.04;0.00042;3.45648e-07;7.39743e-09;1.18111
12;0.04;0.00075;2.92205e-07;6.29211e-09;1.1258
12;0.04;0.00133;2.46539e-07;5.40707e-09;0.987199
12;0.1;0.00024;2.83888e-06;9.36627e-09;0.305366
12;0.1;0.00042;2.37608e-06;7.98488e-09;0.219395
12;0.1;0.00075;1.98719e-06;6.82646e-09;0.126525
12;0.1;0.00133;1.67804e-06;5.88881e-09;0.108821
12;0.1;0.00237;1.4245e-06;5.10026e-09;0.13574
12;0.2;0.00024;1.13489e-05;1.01514e-08;1.21526
12;0.2;0.00042;9.50697e-06;8.7327e-09;1.27685
12;0.2;0.00075;7.94645e-06;7.43035e-09;1.37212
12;0.2;0.00133;6.69679e-06;6.37943e-09;1.33647
12;0.2;0.00237;5.66823e-06;5.48489e-09;1.42741
12;0.2;0.00421;4.83286e-06;4.77196e-09;1.6317
12;0.2;0.0075;4.14761e-06;4.17477e-09;1.54163
12;0.4;0.00024;3.70986e-05;1.14925e-08;1.0275
12;0.4;0.00042;3.13059e-05;9.79236e-09;1.05754
12;0.4;0.00075;2.63655e-05;8.30833e-09;1.0591
12;0.4;0.00133;2.23681e-05;7.11912e-09;0.973567
12;0.4;0.00237;1.90542e-05;6.14752e-09;0.725115
12;0.4;0.00421;1.63373e-05;5.33711e-09;0.732901
12;0.4;0.0075;1.40837e-05;4.66622e-09;0.636995
12;0.65;0.00024;5.95299e-05;1.21877e-08;1.52365
12;0.65;0.00042;5.08123e-05;1.0452e-08;1.18834
12;0.65;0.00075;4.33109e-05;8.86168e-09;0.973946
12;0.65;0.00133;3.7191e-05;7.6376e-09;0.86738
12;0.65;0.00237;3.20724e-05;6.60717e-09;0.871188
12;0.65;0.00421;2.78374e-05;5.76037e-09;0.814404
12;0.65;0.0075;2.42939e-05;5.02723e-09;1.05948
12;0.9;0.00042;3.40657e-05;1.10941e-08;0.52909
12;0.9;0.00075;2.98203e-05;9.46529e-09;0.544418
12;0.9;0.00133;2.62891e-05;8.14521e-09;0.647056
12;0.9;0.00237;2.32792e-05;7.04571e-09;0.64118
12;0.9;0.00421;2.07418e-05;6.13871e-09;0.743151
12;0.9;0.0075;1.85864e-05;5.3749e-09;0.731952
18;0.04;0.00042;1.50464e-07;3.78697e-09;0.954024
18;0.04;0.00075;1.26163e-07;3.24968e-09;1.41623
18;0.04;0.00133;1.0654e-07;2.84715e-09;0.870383
18;0.1;0.00042;1.06393e-06;4.22178e-09;0.641461
18;0.1;0.00075;8.88429e-07;3.54734e-09;0.833308
18;0.1;0.00133;7.49544e-07;3.0356e-09;0.568197
18;0.1;0.00237;6.35693e-07;2.60643e-09;0.453362
18;0.1;0.00421;5.43228e-07;2.24924e-09;0.273447
18;0.2;0.00042;4.3223e-06;4.47609e-09;2.27467
18;0.2;0.00075;3.60241e-06;3.80637e-09;2.2782
18;0.2;0.00133;3.02633e-06;3.27837e-09;2.03472
18;0.2;0.00237;2.55371e-06;2.82186e-09;2.02679
18;0.2;0.00421;2.1714e-06;2.48822e-09;2.45646
18;0.2;0.0075;1.85868e-06;2.15217e-09;2.58019
18;0.4;0.00042;1.47685e-05;5.08673e-09;0.872546
18;0.4;0.00075;1.23812e-05;4.29435e-09;0.756911
18;0.4;0.00133;1.04561e-05;3.67344e-09;0.928293
18;0.4;0.00237;8.86433e-06;3.13694e-09;0.9268
18;0.4;0.00421;7.5643e-06;2.71205e-09;0.728875
18;0.4;0.0075;6.49007e-06;2.36553e-09;0.514219
18;0.4;0.0133;6.0206e-06;2.20629e-09;0.724972
18;0.65;0.00042;2.47761e-05;5.43792e-09;1.02252
18;0.65;0.00075;2.10136e-05;4.6322e-09;1.27912
18;0.65;0.00133;1.79493e-05;3.96583e-09;1.18849
18;0.65;0.00237;1.5395e-05;3.42317e-09;1.11011
18;0.65;0.00421;1.32892e-05;2.942e-09;0.84366
18;0.65;0.0075;1.15335e-05;2.57096e-09;0.943509
18;0.65;0.0133;1.07598e-05;2.40743e-09;1.06268
18;0.9;0.00075;1.43092e-05;4.82089e-09;0.614136
18;0.9;0.00133;1.25766e-05;4.12961e-09;0.518009
18;0.9;0.00237;1.10998e-05;3.57266e-09;0.539239
18;0.9;0.00421;9.85774e-06;3.10187e-09;0.53468
18;0.9;0.0075;8.80256e-06;2.70294e-09;0.488002
18;0.9;0.0133;8.32836e-06;2.5301e-09;0.87954
28;0.04;0.00075;5.1566e-08;1.53471e-09;1.35049
28;0.04;0.00133;4.46417e-08;1.3154e-09;1.30611
28;0.1;0.00075;3.67299e-07;1.73184e-09;0.622295
28;0.1;0.00133;3.09026e-07;1.4837e-09;0.48571
28;0.1;0.00237;2.61838e-07;1.25223e-09;0.813337
28;0.1;0.00421;2.23829e-07;1.07245e-09;0.570526
28;0.2;0.00075;1.51048e-06;1.84439e-09;2.62256
28;0.2;0.00133;1.26588e-06;1.56728e-09;2.70742
28;0.2;0.00237;1.06598e-06;1.34275e-09;2.67561
28;0.2;0.00421;9.0443e-07;1.1503e-09;2.17196
28;0.2;0.0075;7.73172e-07;9.93846e-10;1.57902
28;0.4;0.00075;5.36029e-06;2.09365e-09;0.926699
28;0.4;0.00133;4.50639e-06;1.76782e-09;1.01992
28;0.4;0.00237;3.80356e-06;1.52029e-09;0.768439
28;0.4;0.00421;3.23106e-06;1.29137e-09;0.890704
28;0.4;0.0075;2.76031e-06;1.11697e-09;1.09842
28;0.4;0.0133;2.55493e-06;1.04028e-09;0.982331
28;0.65;0.00075;9.38384e-06;2.22288e-09;1.19558
28;0.65;0.00133;7.97452e-06;1.89683e-09;1.22619
28;0.65;0.00237;6.80257e-06;1.62419e-09;1.47239
28;0.65;0.00421;5.83939e-06;1.40523e-09;1.45167
28;0.65;0.0075;5.03943e-06;1.2182e-09;1.13825
28;0.65;0.0133;4.6882e-06;1.13709e-09;0.841131
28;0.65;0.0237;4.6882e-06;1.13709e-09;0.841131
28;0.9;0.00133;5.53985e-06;1.94968e-09;0.47334
28;0.9;0.00237;4.87331e-06;1.67113e-09;0.891967
28;0.9;0.00421;4.31354e-06;1.43845e-09;0.467582
28;0.9;0.0075;3.83813e-06;1.24826e-09;0.693918
28;0.9;0.0133;3.6242e-06;1.16033e-09;0.61199
28;0.9;0.0237;3.6242e-06;1.16033e-09;0.61199
45;0.04;0.00133;1.7175e-08;5.62905e-10;0.985568
45;0.1;0.00133;1.19495e-07;6.5644e-10;0.971065
45;0.1;0.00237;1.01322e-07;5.67774e-10;0.586378
45;0.2;0.00133;4.95523e-07;6.90265e-10;1.87057
45;0.2;0.00237;4.16235e-07;5.8931e-10;1.63121
45;0.2;0.00421;3.52504e-07;5.03635e-10;1.1602
45;0.2;0.0075;3.00443e-07;4.33344e-10;1.05014
45;0.4;0.00133;1.804e-06;8.80824e-10;0.522881
45;0.4;0.00237;1.51618e-06;7.56643e-10;0.552979
45;0.4;0.00421;1.28294e-06;6.66129e-10;1.42189
45;0.4;0.0075;1.09193e-06;5.0701e-10;0.811856
45;0.4;0.0133;1.00857e-06;4.54371e-10;1.48893
45;0.65;0.00133;3.28045e-06;8.49809e-10;1.7618
45;0.65;0.00237;2.78344e-06;7.24176e-10;1.83393
45;0.65;0.00421;2.37695e-06;6.19736e-10;1.40468
45;0.65;0.0075;2.04031e-06;5.39705e-10;1.21863
45;0.65;0.0133;1.89297e-06;5.04231e-10;1.28227
45;0.65;0.0237;1.89297e-06;5.04231e-10;1.28227
45;0.9;0.00237;1.98302e-06;7.34763e-10;0.684789
45;0.9;0.00421;1.74914e-06;6.31467e-10;1.02431
45;0.9;0.0075;1.55074e-06;5.39066e-10;0.473516
45;0.9;0.0133;1.46197e-06;5.01332e-10;0.722676
45;0.9;0.0237;1.46197e-06;5.01332e-10;0.722676
75;0.1;0.00237;3.64043e-08;2.22191e-10;1.24585
