Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
12;0.2;0.00042;2.80207e-08;4.82804e-09;0.227933
12;0.2;0.00075;1.85905e-08;4.39051e-09;0.937158
12;0.2;0.00133;2.11744e-08;4.14409e-09;0.675685
12;0.2;0.00237;1.86354e-08;2.81103e-09;0.701922
12;0.2;0.00421;1.86354e-08;2.81103e-09;0.701922
12;0.2;0.0075;1.86354e-08;2.81103e-09;0.701922
12;0.4;0.00024;2.44359e-07;9.58739e-09;1.03928
12;0.4;0.00042;2.11726e-07;7.05368e-09;0.415127
12;0.4;0.00075;1.70575e-07;6.14747e-09;0.301351
12;0.4;0.00133;1.40162e-07;5.30735e-09;0.717737
12;0.4;0.00237;1.04985e-07;5.76719e-09;0.814141
12;0.4;0.00421;8.87578e-08;4.58072e-09;1.89705
12;0.4;0.0075;8.87578e-08;4.58072e-09;1.89705
12;0.65;0.00024;2.70512e-06;1.4015e-08;0.202117
12;0.65;0.00042;2.20436e-06;1.17587e-08;0.694592
12;0.65;0.00075;1.75101e-06;8.82328e-09;1.40084
12;0.65;0.00133;1.40579e-06;9.85532e-09;1.17562
12;0.65;0.00237;1.14504e-06;6.87496e-09;0.713367
12;0.65;0.00421;9.21652e-07;6.53285e-09;0.528475
12;0.65;0.0075;7.77473e-07;4.69614e-09;1.61559
12;0.9;0.00042;9.62651e-06;1.73361e-08;1.50889
12;0.9;0.00075;7.85488e-06;1.52653e-08;1.46706
12;0.9;0.00133;6.45998e-06;1.04803e-08;0.660247
12;0.9;0.00237;5.29976e-06;9.84619e-09;1.00223
12;0.9;0.00421;4.35859e-06;7.39675e-09;0.442437
12;0.9;0.0075;3.58784e-06;6.47166e-09;0.568564
18;0.04;0.00042;1.8773e-09;1.00983e-09;1.21001
18;0.04;0.00075;1.8773e-09;1.00983e-09;1.21001
18;0.04;0.00133;1.8773e-09;1.00983e-09;1.21001
18;0.1;0.00042;-7.20351e-10;1.83705e-09;0.882347
18;0.1;0.00075;1.44378e-09;1.19536e-09;0.60441
18;0.1;0.00133;8.2294e-10;1.09221e-09;1.08434
18;0.1;0.00237;8.2294e-10;1.09221e-09;1.08434
18;0.1;0.00421;8.2294e-10;1.09221e-09;1.08434
18;0.2;0.00042;1.15938e-08;2.40514e-09;1.05176
18;0.2;0.00075;8.86096e-09;1.6616e-09;0.362792
18;0.2;0.00133;5.40278e-09;1.71161e-09;2.11458
18;0.2;0.00237;5.62249e-09;1.33262e-09;1.17524
18;0.2;0.00421;5.62249e-09;1.33262e-09;1.17524
18;0.2;0.0075;5.62249e-09;1.33262e-09;1.17524
18;0.4;0.00042;6.80066e-08;3.66136e-09;0.469531
18;0.4;0.00075;5.05588e-08;3.25976e-09;0.520778
18;0.4;0.00133;4.68139e-08;2.33204e-09;1.14922
18;0.4;0.00237;3.23583e-08;2.27242e-09;0.95029
18;0.4;0.00421;3.19011e-08;2.45621e-09;0.97417
18;0.4;0.0075;3.19011e-08;2.45621e-09;0.97417
18;0.4;0.0133;3.19011e-08;2.45621e-09;0.97417
18;0.65;0.00042;8.78145e-07;5.31123e-09;1.21535
18;0.65;0.00075;6.97884e-07;4.7574e-09;0.890649
18;0.65;0.00133;5.55051e-07;6.85101e-09;2.11195
18;0.65;0.00237;4.41471e-07;3.23938e-09;1.29373
18;0.65;0.00421;3.52712e-07;2.52131e-09;1.1723
18;0.65;0.0075;2.92522e-07;2.5601e-09;1.46906
18;0.65;0.0133;2.92522e-07;2.5601e-09;1.46906
18;0.9;0.00075;3.49511e-06;6.33647e-09;0.825438
18;0.9;0.00133;2.83814e-06;5.19823e-09;0.787033
18;0.9;0.00237;2.30625e-06;3.92416e-09;0.992864
18;0.9;0.00421;1.88591e-06;4.60815e-09;0.549587
18;0.9;0.0075;1.53533e-06;2.98561e-09;0.426166
18;0.9;0.0133;1.43411e-06;2.7328e-09;3.10518
28;0.04;0.00075;-4.91186e-10;3.35222e-10;0.421219
28;0.04;0.00133;-4.91186e-10;3.35222e-10;0.421219
28;0.1;0.00075;-1.28005e-10;5.97787e-10;0.583299
28;0.1;0.00133;1.05235e-10;4.27532e-10;1.25165
28;0.1;0.00237;1.05235e-10;4.27532e-10;1.25165
28;0.1;0.00421;1.05235e-10;4.27532e-10;1.25165
28;0.2;0.00075;1.75739e-09;7.76729e-10;1.04161
28;0.2;0.00133;1.9967e-09;6.39726e-10;0.537846
28;0.2;0.00237;1.6545e-09;5.15203e-10;1.70114
28;0.2;0.00421;1.6545e-09;5.15203e-10;1.70114
28;0.2;0.0075;1.6545e-09;5.15203e-10;1.70114
28;0.4;0.00075;1.42361e-08;1.14016e-09;1.07891
28;0.4;0.00133;1.17779e-08;9.09383e-10;0.577621
28;0.4;0.00237;9.77026e-09;8.71347e-10;0.979011
28;0.4;0.00421;7.39371e-09;8.70658e-10;0.874694
28;0.4;0.0075;7.39371e-09;8.70658e-10;0.874694
28;0.4;0.0133;7.39371e-09;8.70658e-10;0.874694
28;0.65;0.00075;2.46286e-07;1.44524e-09;1.95492
28;0.65;0.00133;1.93524e-07;1.3596e-09;0.686843
28;0.65;0.00237;1.53801e-07;1.23582e-09;0.661647
28;0.65;0.00421;1.18501e-07;1.16537e-09;1.05301
28;0.65;0.0075;9.88885e-08;9.14294e-10;1.59076
28;0.65;0.0133;9.88885e-08;9.14294e-10;1.59076
28;0.65;0.0237;9.88885e-08;9.14294e-10;1.59076
28;0.9;0.00133;1.11702e-06;2.69654e-09;1.0646
28;0.9;0.00237;8.9799e-07;1.85881e-09;1.33083
28;0.9;0.00421;7.20755e-07;1.42408e-09;0.491621
28;0.9;0.0075;5.79469e-07;1.24386e-09;1.54251
28;0.9;0.0133;5.43011e-07;1.28358e-09;2.54308
28;0.9;0.0237;5.43011e-07;1.28358e-09;2.54308
45;0.04;0.00133;-1.04558e-10;1.26525e-10;1.03147
45;0.1;0.00133;-3.08831e-11;1.57217e-10;1.30659
45;0.1;0.00237;-3.08831e-11;1.57217e-10;1.30659
45;0.2;0.00133;6.15717e-10;2.38647e-10;0.452009
45;0.2;0.00237;1.44148e-10;2.56584e-10;0.750269
45;0.2;0.00421;1.44148e-10;2.56584e-10;0.750269
45;0.2;0.0075;1.44148e-10;2.56584e-10;0.750269
45;0.4;0.00133;2.45885e-09;4.19218e-10;1.09848
45;0.4;0.00237;2.51253e-09;2.8027e-10;1.2391
45;0.4;0.00421;2.23316e-09;3.10607e-10;0.793414
45;0.4;0.0075;2.23316e-09;3.10607e-10;0.793414
45;0.4;0.0133;2.23316e-09;3.10607e-10;0.793414
45;0.65;0.00133;6.08003e-08;5.29765e-10;0.317284
45;0.65;0.00237;4.63668e-08;4.16282e-10;0.620475
45;0.65;0.00421;3.57716e-08;3.60284e-10;1.2605
45;0.65;0.0075;2.9063e-08;2.74004e-10;2.8314
45;0.65;0.0133;2.9063e-08;2.74004e-10;2.8314
45;0.65;0.0237;2.9063e-08;2.74004e-10;2.8314
45;0.9;0.00237;3.13859e-07;1.00803e-09;1.6511
45;0.9;0.00421;2.47813e-07;6.43951e-10;1.39388
45;0.9;0.0075;1.96726e-07;4.56309e-10;1.84396
45;0.9;0.0133;1.81492e-07;3.66177e-10;3.66626
45;0.9;0.0237;1.81492e-07;3.66177e-10;3.66626
75;0.1;0.00237;6.00516e-11;5.47823e-11;0.31039
75;0.1;0.00421;6.00516e-11;5.47823e-11;0.31039
75;0.2;0.00237;1.34499e-11;6.38006e-11;0.839199
75;0.2;0.00421;1.34499e-11;6.38006e-11;0.839199
75;0.2;0.0075;1.34499e-11;6.38006e-11;0.839199
75;0.4;0.00237;6.43079e-10;9.23915e-11;0.0920813
75;0.4;0.00421;3.52623e-10;7.32535e-11;0.408931
75;0.4;0.0075;3.52623e-10;7.32535e-11;0.408931
75;0.4;0.0133;3.52623e-10;7.32535e-11;0.408931
75;0.65;0.00237;1.26991e-08;1.6552e-10;1.26329
75;0.65;0.00421;9.67199e-09;1.28363e-10;0.795563
75;0.65;0.0075;7.7695e-09;1.02454e-10;0.692353
75;0.65;0.0133;7.7695e-09;1.02454e-10;0.692353
75;0.65;0.0237;7.7695e-09;1.02454e-10;0.692353
75;0.9;0.00421;7.58385e-08;2.25513e-10;0.307333
75;0.9;0.0075;5.83669e-08;2.4375e-10;2.27328
75;0.9;0.0133;5.42676e-08;1.18679e-10;0.84427
75;0.9;0.0237;5.42676e-08;1.18679e-10;0.84427
