Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
12;0.65;0.00075;4.40836e-08;1.42965e-10;1.30061
12;0.65;0.00133;3.56586e-08;1.39327e-10;0.365134
12;0.65;0.00237;2.89206e-08;1.06976e-10;1.71546
12;0.65;0.00421;2.33827e-08;8.66802e-11;1.39025
12;0.65;0.0075;1.98299e-08;7.20567e-11;1.50552
12;0.9;0.00042;0;0;0
12;0.9;0.00075;0;0;0
12;0.9;0.00133;0;0;0
12;0.9;0.00237;0;0;0
12;0.9;0.00421;0;0;0
12;0.9;0.0075;0;0;0
18;0.04;0.00042;3.14733e-09;5.78236e-10;1.33024
18;0.04;0.00075;3.14733e-09;5.78236e-10;1.33024
18;0.04;0.00133;3.14733e-09;5.78236e-10;1.33024
18;0.1;0.00042;2.18731e-08;9.52584e-10;0.199861
18;0.1;0.00075;1.76978e-08;8.94898e-10;1.09008
18;0.1;0.00133;1.55484e-08;6.64553e-10;1.5848
18;0.1;0.00237;1.55484e-08;6.64553e-10;1.5848
18;0.1;0.00421;1.55484e-08;6.64553e-10;1.5848
18;0.2;0.00042;1.09492e-07;1.57223e-09;0.753561
18;0.2;0.00075;8.71334e-08;1.39941e-09;0.843452
18;0.2;0.00133;6.96529e-08;1.07837e-09;0.0800174
18;0.2;0.00237;5.80753e-08;8.14054e-10;0.218487
18;0.2;0.00421;5.80753e-08;8.14054e-10;0.218487
18;0.2;0.0075;5.80753e-08;8.14054e-10;0.218487
18;0.4;0.00042;3.87505e-07;2.15027e-09;2.14688
18;0.4;0.00075;3.0586e-07;3.2599e-09;0.603214
18;0.4;0.00133;2.45988e-07;1.55342e-09;2.71693
18;0.4;0.00237;1.98193e-07;1.08552e-09;2.22952
18;0.4;0.00421;1.62698e-07;1.45363e-09;0.904986
18;0.4;0.0075;1.62698e-07;1.45363e-09;0.904986
18;0.4;0.0133;1.62698e-07;1.45363e-09;0.904986
18;0.65;0.00042;3.88452e-07;1.68251e-09;1.63653
18;0.65;0.00075;3.11106e-07;1.2685e-09;0.697035
18;0.65;0.00133;2.50146e-07;8.27843e-10;2.15431
18;0.65;0.00237;2.00429e-07;9.24104e-10;3.6323
18;0.65;0.00421;1.61569e-07;6.90717e-10;1.35287
18;0.65;0.0075;1.37129e-07;5.64797e-10;1.34657
18;0.65;0.0133;1.37129e-07;5.64797e-10;1.34657
18;0.9;0.00075;0;0;0
18;0.9;0.00133;0;0;0
18;0.9;0.00237;0;0;0
18;0.9;0.00421;0;0;0
18;0.9;0.0075;0;0;0
18;0.9;0.0133;0;0;0
28;0.04;0.00075;1.51559e-09;3.27251e-10;0.261745
28;0.04;0.00133;1.51559e-09;3.27251e-10;0.261745
28;0.1;0.00075;7.07898e-09;3.92817e-10;0.272825
28;0.1;0.00133;6.37953e-09;4.53508e-10;0.558576
28;0.1;0.00237;6.37953e-09;4.53508e-10;0.558576
28;0.1;0.00421;6.37953e-09;4.53508e-10;0.558576
28;0.2;0.00075;3.761e-08;7.03598e-10;0.347511
28;0.2;0.00133;2.95891e-08;5.82661e-10;0.486223
28;0.2;0.00237;2.51846e-08;4.42869e-10;0.690512
28;0.2;0.00421;2.51846e-08;4.42869e-10;0.690512
28;0.2;0.0075;2.51846e-08;4.42869e-10;0.690512
28;0.4;0.00075;1.45491e-07;1.09208e-09;0.821457
28;0.4;0.00133;1.14531e-07;7.16578e-10;0.309024
28;0.4;0.00237;9.34093e-08;9.31749e-10;0.703748
28;0.4;0.00421;7.5551e-08;5.66715e-10;1.2779
28;0.4;0.0075;7.5551e-08;5.66715e-10;1.2779
28;0.4;0.0133;7.5551e-08;5.66715e-10;1.2779
28;0.65;0.00075;1.87637e-07;8.73837e-10;1.45657
28;0.65;0.00133;1.52697e-07;1.34127e-09;0.980578
28;0.65;0.00237;1.2141e-07;5.63268e-10;2.49809
28;0.65;0.00421;9.60305e-08;4.73916e-10;1.28967
28;0.65;0.0075;8.09926e-08;3.6551e-10;2.30807
28;0.65;0.0133;8.09926e-08;3.6551e-10;2.30807
28;0.65;0.0237;8.09926e-08;3.6551e-10;2.30807
28;0.9;0.00133;0;0;0
28;0.9;0.00237;0;0;0
28;0.9;0.00421;0;0;0
28;0.9;0.0075;0;0;0
28;0.9;0.0133;0;0;0
28;0.9;0.0237;0;0;0
45;0.04;0.00133;3.31043e-10;1.33553e-10;1.32315
45;0.1;0.00133;2.34949e-09;2.71448e-10;0.835351
45;0.1;0.00237;2.34949e-09;2.71448e-10;0.835351
45;0.2;0.00133;1.13884e-08;2.4811e-10;0.343389
45;0.2;0.00237;9.60587e-09;2.36656e-10;0.085664
45;0.2;0.00421;9.60587e-09;2.36656e-10;0.085664
45;0.2;0.0075;9.60587e-09;2.36656e-10;0.085664
45;0.4;0.00133;4.85051e-08;4.60264e-10;1.59863
45;0.4;0.00237;3.86199e-08;4.43736e-10;0.568213
45;0.4;0.00421;3.0984e-08;2.77262e-10;1.98362
45;0.4;0.0075;3.0984e-08;2.77262e-10;1.98362
45;0.4;0.0133;3.0984e-08;2.77262e-10;1.98362
45;0.65;0.00133;7.47139e-08;3.53332e-10;1.85017
45;0.65;0.00237;5.91053e-08;3.46428e-10;3.44745
45;0.65;0.00421;4.71487e-08;3.19961e-10;1.85062
45;0.65;0.0075;3.9143e-08;2.27333e-10;1.44278
45;0.65;0.0133;3.9143e-08;2.27333e-10;1.44278
45;0.65;0.0237;3.9143e-08;2.27333e-10;1.44278
45;0.9;0.00237;0;0;0
45;0.9;0.00421;0;0;0
45;0.9;0.0075;0;0;0
45;0.9;0.0133;0;0;0
45;0.9;0.0237;0;0;0
75;0.1;0.00237;9.50143e-10;1.09983e-10;0.697492
75;0.1;0.00421;9.50143e-10;1.09983e-10;0.697492
75;0.2;0.00237;3.7538e-09;2.46529e-10;1.24422
75;0.2;0.00421;3.7538e-09;2.46529e-10;1.24422
75;0.2;0.0075;3.7538e-09;2.46529e-10;1.24422
75;0.4;0.00237;1.48176e-08;1.8305e-10;1.15402
75;0.4;0.00421;1.17692e-08;1.32725e-10;0.447578
75;0.4;0.0075;1.17692e-08;1.32725e-10;0.447578
75;0.4;0.0133;1.17692e-08;1.32725e-10;0.447578
75;0.65;0.00237;2.48211e-08;1.69349e-10;2.95486
75;0.65;0.00421;1.9519e-08;1.15705e-10;1.64585
75;0.65;0.0075;1.63369e-08;1.17183e-10;1.68235
75;0.65;0.0133;1.63369e-08;1.17183e-10;1.68235
75;0.65;0.0237;1.63369e-08;1.17183e-10;1.68235
75;0.9;0.00421;3.16923e-09;4.32107e-11;0.47431
75;0.9;0.0075;2.46964e-09;3.04224e-11;2.02172
75;0.9;0.0133;2.28875e-09;2.60367e-11;1.44334
75;0.9;0.0237;2.28875e-09;2.60367e-11;1.44334
