Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
12;0.2;0.00075;4.69425e-06;1.36422e-07;1.26652
12;0.2;0.00133;4.08531e-06;8.77076e-08;1.46818
12;0.2;0.00237;3.57569e-06;6.90775e-08;0.13722
12;0.2;0.00421;3.57569e-06;6.90775e-08;0.13722
12;0.2;0.0075;3.57569e-06;6.90775e-08;0.13722
12;0.4;0.00024;2.50239e-05;1.47893e-07;0.736854
12;0.4;0.00042;2.15932e-05;2.33651e-07;0.194349
12;0.4;0.00075;1.80411e-05;1.39652e-07;0.525444
12;0.4;0.00133;1.53467e-05;9.82391e-08;0.0251646
12;0.4;0.00237;1.30966e-05;1.05542e-07;0.51381
12;0.4;0.00421;1.15568e-05;1.53404e-07;0.700047
12;0.4;0.0075;1.15568e-05;1.53404e-07;0.700047
12;0.65;0.00024;4.32588e-05;3.17806e-07;0.894191
12;0.65;0.00042;3.72158e-05;2.04537e-07;0.243795
12;0.65;0.00075;3.18581e-05;1.53889e-07;1.2703
12;0.65;0.00133;2.72237e-05;1.453e-07;0.322005
12;0.65;0.00237;2.33405e-05;1.28559e-07;1.21105
12;0.65;0.00421;2.02081e-05;9.86669e-08;0.930452
12;0.65;0.0075;1.80387e-05;1.18645e-07;0.936018
12;0.9;0.00042;2.22919e-05;2.55582e-07;0.212198
12;0.9;0.00075;1.86918e-05;2.77717e-07;0.497361
12;0.9;0.00133;1.64667e-05;2.13974e-07;0.853413
12;0.9;0.00237;1.43449e-05;1.83409e-07;0.354191
12;0.9;0.00421;1.21603e-05;1.68984e-07;1.60755
12;0.9;0.0075;1.10131e-05;1.56394e-07;0.421585
18;0.04;0.00042;6.75666e-08;2.12036e-08;2.32481
18;0.04;0.00075;6.75666e-08;2.12036e-08;2.32481
18;0.04;0.00133;6.75666e-08;2.12036e-08;2.32481
18;0.1;0.00042;5.88175e-07;4.42333e-08;1.56161
18;0.1;0.00075;4.36684e-07;4.12086e-08;1.3188
18;0.1;0.00133;4.45109e-07;2.81251e-08;1.69272
18;0.1;0.00237;4.45109e-07;2.81251e-08;1.69272
18;0.1;0.00421;4.45109e-07;2.81251e-08;1.69272
18;0.2;0.00042;2.46261e-06;5.87493e-08;1.19608
18;0.2;0.00075;2.2893e-06;6.38726e-08;0.736063
18;0.2;0.00133;1.71811e-06;4.20111e-08;1.9384
18;0.2;0.00237;1.60276e-06;4.97709e-08;1.858
18;0.2;0.00421;1.60276e-06;4.97709e-08;1.858
18;0.2;0.0075;1.60276e-06;4.97709e-08;1.858
18;0.4;0.00042;1.00215e-05;6.82561e-08;1.92782
18;0.4;0.00075;8.45298e-06;8.73836e-08;0.412017
18;0.4;0.00133;7.14886e-06;8.76995e-08;1.07522
18;0.4;0.00237;6.08094e-06;5.02484e-08;0.674576
18;0.4;0.00421;5.27294e-06;4.40951e-08;0.728276
18;0.4;0.0075;5.27294e-06;4.40951e-08;0.728276
18;0.4;0.0133;5.27294e-06;4.40951e-08;0.728276
18;0.65;0.00042;1.85555e-05;8.25075e-08;0.769312
18;0.65;0.00075;1.57765e-05;8.4576e-08;0.607038
18;0.65;0.00133;1.35685e-05;9.52091e-08;0.340274
18;0.65;0.00237;1.15168e-05;8.62693e-08;0.266144
18;0.65;0.00421;9.86862e-06;6.61321e-08;0.924277
18;0.65;0.0075;8.8529e-06;7.64538e-08;0.4012
18;0.65;0.0133;8.8529e-06;7.64538e-08;0.4012
18;0.9;0.00075;9.63701e-06;1.65756e-07;0.238059
18;0.9;0.00133;8.4153e-06;1.71587e-07;1.23639
18;0.9;0.00237;7.30214e-06;1.11675e-07;0.521098
18;0.9;0.00421;6.32562e-06;1.12589e-07;0.191687
18;0.9;0.0075;5.47041e-06;7.73827e-08;0.699095
18;0.9;0.0133;5.08948e-06;8.38959e-08;1.31657
28;0.04;0.00075;4.40172e-08;1.26177e-08;1.67218
