Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
12;0.65;0.00075;8.23186e-08;1.36234e-10;1.05297
12;0.65;0.00133;6.65182e-08;1.01968e-10;1.30208
12;0.65;0.00237;5.36762e-08;8.63456e-11;0.305909
12;0.65;0.00421;4.34401e-08;6.84393e-11;0.717827
12;0.65;0.0075;3.69536e-08;5.69833e-11;0.21285
12;0.9;0.00042;0;0;0
12;0.9;0.00075;0;0;0
12;0.9;0.00133;0;0;0
12;0.9;0.00237;0;0;0
12;0.9;0.00421;0;0;0
12;0.9;0.0075;0;0;0
18;0.04;0.00042;4.01156e-10;1.77324e-10;0.630988
18;0.04;0.00075;4.01156e-10;1.77324e-10;0.630988
18;0.04;0.00133;4.01156e-10;1.77324e-10;0.630988
18;0.1;0.00042;4.71517e-10;2.95166e-10;0.809285
18;0.1;0.00075;4.91277e-10;2.68444e-10;0.688573
18;0.1;0.00133;2.35902e-10;2.4824e-10;0.481753
18;0.1;0.00237;2.35902e-10;2.4824e-10;0.481753
18;0.1;0.00421;2.35902e-10;2.4824e-10;0.481753
18;0.2;0.00042;2.29039e-09;4.97404e-10;0.797678
18;0.2;0.00075;1.77162e-09;4.05109e-10;0.139809
18;0.2;0.00133;1.17241e-09;3.92713e-10;1.34294
18;0.2;0.00237;1.73922e-09;2.893e-10;0.543666
18;0.2;0.00421;1.73922e-09;2.893e-10;0.543666
18;0.2;0.0075;1.73922e-09;2.893e-10;0.543666
18;0.4;0.00042;6.92854e-08;7.57593e-10;1.68064
18;0.4;0.00075;5.39879e-08;6.59932e-10;1.55944
18;0.4;0.00133;4.1938e-08;6.39184e-10;1.34876
18;0.4;0.00237;3.21225e-08;4.24132e-10;3.82812
18;0.4;0.00421;2.61131e-08;3.8426e-10;0.390554
18;0.4;0.0075;2.61131e-08;3.8426e-10;0.390554
18;0.4;0.0133;2.61131e-08;3.8426e-10;0.390554
18;0.65;0.00042;5.61715e-07;1.19646e-09;0.587393
18;0.65;0.00075;4.4784e-07;8.35182e-10;1.199
18;0.65;0.00133;3.55455e-07;7.58805e-10;3.43839
18;0.65;0.00237;2.83724e-07;6.82087e-10;1.6248
18;0.65;0.00421;2.26596e-07;4.81203e-10;1.11817
18;0.65;0.0075;1.89891e-07;4.58334e-10;1.98025
18;0.65;0.0133;1.89891e-07;4.58334e-10;1.98025
18;0.9;0.00075;0;0;0
18;0.9;0.00133;0;0;0
18;0.9;0.00237;0;0;0
18;0.9;0.00421;0;0;0
18;0.9;0.0075;0;0;0
18;0.9;0.0133;0;0;0
28;0.04;0.00075;-6.9013e-11;1.21478e-10;1.23532
28;0.04;0.00133;-6.9013e-11;1.21478e-10;1.23532
28;0.1;0.00075;1.10916e-10;1.56865e-10;0.365392
28;0.1;0.00133;1.82524e-11;1.20756e-10;0.833811
28;0.1;0.00237;1.82524e-11;1.20756e-10;0.833811
28;0.1;0.00421;1.82524e-11;1.20756e-10;0.833811
28;0.2;0.00075;7.54696e-10;2.36984e-10;0.493206
28;0.2;0.00133;5.73576e-10;1.7449e-10;0.179314
28;0.2;0.00237;6.17869e-10;1.50323e-10;0.376385
28;0.2;0.00421;6.17869e-10;1.50323e-10;0.376385
28;0.2;0.0075;6.17869e-10;1.50323e-10;0.376385
28;0.4;0.00075;1.48997e-08;3.92738e-10;0.529388
28;0.4;0.00133;1.14858e-08;2.76812e-10;1.45002
28;0.4;0.00237;8.46251e-09;2.76946e-10;0.401347
28;0.4;0.00421;6.81957e-09;2.0965e-10;0.775653
28;0.4;0.0075;6.81957e-09;2.0965e-10;0.775653
28;0.4;0.0133;6.81957e-09;2.0965e-10;0.775653
28;0.65;0.00075;1.9107e-07;5.56398e-10;1.31261
28;0.65;0.00133;1.51114e-07;4.99392e-10;1.44552
28;0.65;0.00237;1.18407e-07;3.84807e-10;0.65402
28;0.65;0.00421;9.22708e-08;2.66484e-10;0.690454
28;0.65;0.0075;7.63888e-08;2.67388e-10;0.0557769
28;0.65;0.0133;7.63888e-08;2.67388e-10;0.0557769
28;0.65;0.0237;7.63888e-08;2.67388e-10;0.0557769
28;0.9;0.00133;0;0;0
28;0.9;0.00237;0;0;0
28;0.9;0.00421;0;0;0
28;0.9;0.0075;0;0;0
28;0.9;0.0133;0;0;0
28;0.9;0.0237;0;0;0
45;0.04;0.00133;-3.03419e-12;5.33503e-11;0.66872
45;0.1;0.00133;-6.48072e-12;5.44953e-11;0.922151
45;0.1;0.00237;-6.48072e-12;5.44953e-11;0.922151
