Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
12;0.65;0.00075;2.75425e-07;9.27864e-10;1.60964
12;0.65;0.00133;2.25146e-07;8.07218e-10;2.15878
12;0.65;0.00237;1.83863e-07;6.0158e-10;3.0394
12;0.65;0.00421;1.51001e-07;5.04008e-10;2.05143
12;0.65;0.0075;1.28998e-07;4.60979e-10;1.21564
12;0.9;0.00042;0;0;0
12;0.9;0.00075;0;0;0
12;0.9;0.00133;0;0;0
12;0.9;0.00237;0;0;0
12;0.9;0.00421;0;0;0
12;0.9;0.0075;0;0;0
18;0.04;0.00042;2.35944e-08;6.10017e-09;0.71632
18;0.04;0.00075;2.35944e-08;6.10017e-09;0.71632
18;0.04;0.00133;2.35944e-08;6.10017e-09;0.71632
18;0.1;0.00042;1.46311e-07;7.55474e-09;0.366853
18;0.1;0.00075;1.18582e-07;4.71796e-09;0.392911
18;0.1;0.00133;9.49508e-08;4.59897e-09;1.79427
18;0.1;0.00237;9.49508e-08;4.59897e-09;1.79427
18;0.1;0.00421;9.49508e-08;4.59897e-09;1.79427
18;0.2;0.00042;7.00205e-07;7.88193e-09;0.175
18;0.2;0.00075;5.54948e-07;9.34194e-09;1.7315
18;0.2;0.00133;4.59947e-07;6.44394e-09;2.38511
18;0.2;0.00237;3.92244e-07;6.22824e-09;0.0607708
18;0.2;0.00421;3.92244e-07;6.22824e-09;0.0607708
18;0.2;0.0075;3.92244e-07;6.22824e-09;0.0607708
18;0.4;0.00042;2.42085e-06;1.13906e-08;2.3772
18;0.4;0.00075;1.98298e-06;1.26644e-08;0.800554
18;0.4;0.00133;1.58715e-06;9.1037e-09;0.988167
18;0.4;0.00237;1.28739e-06;7.15205e-09;1.70139
18;0.4;0.00421;1.062e-06;6.69094e-09;1.45297
18;0.4;0.0075;1.062e-06;6.69094e-09;1.45297
18;0.4;0.0133;1.062e-06;6.69094e-09;1.45297
18;0.65;0.00042;2.43905e-06;1.38196e-08;1.88656
18;0.65;0.00075;1.95748e-06;1.02533e-08;1.11969
18;0.65;0.00133;1.59246e-06;6.07953e-09;2.72407
18;0.65;0.00237;1.29439e-06;5.60583e-09;3.29471
18;0.65;0.00421;1.04671e-06;4.60982e-09;0.950652
18;0.65;0.0075;8.91467e-07;3.82375e-09;1.36699
18;0.65;0.0133;8.91467e-07;3.82375e-09;1.36699
18;0.9;0.00075;0;0;0
18;0.9;0.00133;0;0;0
18;0.9;0.00237;0;0;0
18;0.9;0.00421;0;0;0
18;0.9;0.0075;0;0;0
18;0.9;0.0133;0;0;0
28;0.04;0.00075;1.48123e-08;3.3578e-09;1.27179
28;0.04;0.00133;1.48123e-08;3.3578e-09;1.27179
28;0.1;0.00075;5.28349e-08;5.20479e-09;0.289362
28;0.1;0.00133;4.73574e-08;2.46898e-09;0.70798
28;0.1;0.00237;4.73574e-08;2.46898e-09;0.70798
28;0.1;0.00421;4.73574e-08;2.46898e-09;0.70798
28;0.2;0.00075;2.45783e-07;4.68471e-09;0.650767
28;0.2;0.00133;1.92052e-07;3.31859e-09;0.94714
28;0.2;0.00237;1.66032e-07;2.96764e-09;0.280066
28;0.2;0.00421;1.66032e-07;2.96764e-09;0.280066
28;0.2;0.0075;1.66032e-07;2.96764e-09;0.280066
