Q2 (GeV);beta;x;sigma (mb);sigma error (mb);fit
12;0.65;0.00075;5.12628e-07;9.0431e-10;1.08786
12;0.65;0.00133;4.19468e-07;7.02022e-10;0.692909
12;0.65;0.00237;3.42617e-07;5.40447e-10;0.257978
12;0.65;0.00421;2.7979e-07;4.99007e-10;0.606437
12;0.65;0.0075;2.40135e-07;3.94186e-10;0.0497876
12;0.9;0.00042;0;0;0
12;0.9;0.00075;0;0;0
12;0.9;0.00133;0;0;0
12;0.9;0.00237;0;0;0
12;0.9;0.00421;0;0;0
12;0.9;0.0075;0;0;0
18;0.04;0.00042;2.59083e-09;1.16048e-09;1.9765
18;0.04;0.00075;2.59083e-09;1.16048e-09;1.9765
18;0.04;0.00133;2.59083e-09;1.16048e-09;1.9765
18;0.1;0.00042;5.64087e-10;2.04066e-09;1.08042
18;0.1;0.00075;2.54421e-09;1.76624e-09;0.660702
18;0.1;0.00133;1.06938e-09;1.61729e-09;0.0733133
18;0.1;0.00237;1.06938e-09;1.61729e-09;0.0733133
18;0.1;0.00421;1.06938e-09;1.61729e-09;0.0733133
18;0.2;0.00042;1.45935e-08;3.1572e-09;0.701746
18;0.2;0.00075;1.12868e-08;2.52199e-09;0.450727
18;0.2;0.00133;8.21759e-09;2.1725e-09;1.03155
18;0.2;0.00237;7.55506e-09;2.92095e-09;1.26006
18;0.2;0.00421;7.55506e-09;2.92095e-09;1.26006
18;0.2;0.0075;7.55506e-09;2.92095e-09;1.26006
18;0.4;0.00042;4.52349e-07;5.26454e-09;1.25294
18;0.4;0.00075;3.51626e-07;4.0128e-09;1.11094
18;0.4;0.00133;2.79437e-07;4.13604e-09;1.31829
18;0.4;0.00237;2.12265e-07;3.09955e-09;0.30268
18;0.4;0.00421;1.71501e-07;2.39306e-09;1.48149
18;0.4;0.0075;1.71501e-07;2.39306e-09;1.48149
18;0.4;0.0133;1.71501e-07;2.39306e-09;1.48149
18;0.65;0.00042;3.51498e-06;7.81348e-09;1.9113
18;0.65;0.00075;2.83938e-06;5.45838e-09;0.698993
18;0.65;0.00133;2.28597e-06;4.66101e-09;2.14267
18;0.65;0.00237;1.83873e-06;3.46676e-09;0.67373
18;0.65;0.00421;1.47868e-06;3.0642e-09;1.34403
18;0.65;0.0075;1.24769e-06;2.73478e-09;1.88607
18;0.65;0.0133;1.24769e-06;2.73478e-09;1.88607
18;0.9;0.00075;0;0;0
18;0.9;0.00133;0;0;0
18;0.9;0.00237;0;0;0
18;0.9;0.00421;0;0;0
18;0.9;0.0075;0;0;0
18;0.9;0.0133;0;0;0
28;0.04;0.00075;6.63751e-10;8.66971e-10;0.843216
28;0.04;0.00133;6.63751e-10;8.66971e-10;0.843216
28;0.1;0.00075;1.88496e-09;9.84647e-10;0.087442
28;0.1;0.00133;6.16432e-10;8.48115e-10;0.376922
28;0.1;0.00237;6.16432e-10;8.48115e-10;0.376922
28;0.1;0.00421;6.16432e-10;8.48115e-10;0.376922
28;0.2;0.00075;3.58684e-09;1.3585e-09;0.462576
28;0.2;0.00133;4.82498e-09;1.35274e-09;0.350532
28;0.2;0.00237;2.86934e-09;1.11121e-09;2.27979
28;0.2;0.00421;2.86934e-09;1.11121e-09;2.27979
28;0.2;0.0075;2.86934e-09;1.11121e-09;2.27979
28;0.4;0.00075;9.8993e-08;2.12729e-09;0.363155
28;0.4;0.00133;7.60041e-08;1.76729e-09;0.324953
28;0.4;0.00237;5.78751e-08;1.45316e-09;1.79661
28;0.4;0.00421;4.4893e-08;1.09479e-09;1.51799
28;0.4;0.0075;4.4893e-08;1.09479e-09;1.51799
28;0.4;0.0133;4.4893e-08;1.09479e-09;1.51799
28;0.65;0.00075;1.23136e-06;4.29545e-09;1.8296
28;0.65;0.00133;9.76602e-07;3.05551e-09;1.28625
28;0.65;0.00237;7.7373e-07;2.12516e-09;1.55188
28;0.65;0.00421;6.12082e-07;1.90688e-09;1.0619
28;0.65;0.0075;5.08233e-07;1.76335e-09;1.94686
28;0.65;0.0133;5.08233e-07;1.76335e-09;1.94686
28;0.65;0.0237;5.08233e-07;1.76335e-09;1.94686
28;0.9;0.00133;0;0;0
28;0.9;0.00237;0;0;0
28;0.9;0.00421;0;0;0
28;0.9;0.0075;0;0;0
28;0.9;0.0133;0;0;0
28;0.9;0.0237;0;0;0
45;0.04;0.00133;5.86016e-11;3.08053e-10;0.496473
45;0.1;0.00133;7.385e-10;3.99263e-10;0.288365
45;0.1;0.00237;7.385e-10;3.99263e-10;0.288365
