Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.0218137;1.36983e-05
2.500000;1.1514e-05;0.0211217;1.33619e-05
2.500000;1.32571e-05;0.0204638;1.29472e-05
2.500000;1.52642e-05;0.0198406;1.25438e-05
2.500000;1.75751e-05;0.019241;1.21487e-05
2.500000;2.02359e-05;0.0186248;1.17742e-05
2.500000;2.32995e-05;0.0180583;1.14106e-05
2.500000;2.6827e-05;0.0175162;1.10929e-05
2.500000;3.08884e-05;0.0169512;1.07407e-05
2.500000;3.55648e-05;0.0164239;1.03901e-05
2.500000;4.09492e-05;0.015932;1.0093e-05
2.500000;4.71487e-05;0.0154211;9.73869e-06
2.500000;5.42868e-05;0.0149272;9.38405e-06
2.500000;6.25055e-05;0.0144649;9.0684e-06
2.500000;7.19686e-05;0.0140223;8.79964e-06
2.500000;8.28643e-05;0.0135613;8.47353e-06
2.500000;9.54095e-05;0.0131399;8.1593e-06
2.500000;0.000109854;0.0127391;7.97545e-06
2.500000;0.000126486;0.0123219;7.69191e-06
2.500000;0.000145635;0.011925;7.43918e-06
2.500000;0.000167683;0.0115486;7.19785e-06
2.500000;0.00019307;0.0111866;6.99737e-06
2.500000;0.0002223;0.0108176;6.76648e-06
2.500000;0.000255955;0.0104774;6.56154e-06
2.500000;0.000294705;0.0101508;6.39143e-06
2.500000;0.000339322;0.00981209;6.25005e-06
2.500000;0.000390694;0.00949541;6.03705e-06
2.500000;0.000449843;0.00920234;5.87936e-06
2.500000;0.000517947;0.00889661;5.69185e-06
2.500000;0.000596362;0.00860045;5.48153e-06
2.500000;0.000686649;0.00832245;5.31542e-06
2.500000;0.000790604;0.00805935;5.08885e-06
2.500000;0.000910298;0.00778343;4.91494e-06
2.500000;0.00104811;0.00753182;4.73377e-06
2.500000;0.00120679;0.00729282;4.59576e-06
2.500000;0.0013895;0.00704452;4.44707e-06
2.500000;0.00159986;0.00680875;4.2694e-06
2.500000;0.00184207;0.00658366;4.12014e-06
2.500000;0.00212095;0.00636823;4.02074e-06
2.500000;0.00244205;0.00614767;3.87003e-06
2.500000;0.00281177;0.00594598;3.76783e-06
2.500000;0.00323746;0.00575204;3.66228e-06
2.500000;0.00372759;0.00555162;3.54916e-06
2.500000;0.00429193;0.0053648;3.43e-06
2.500000;0.00494171;0.00519077;3.34586e-06
2.500000;0.00568987;0.00500913;3.24398e-06
2.500000;0.00655129;0.00483429;3.12447e-06
2.500000;0.00754312;0.00466976;3.01609e-06
2.500000;0.00868511;0.00451295;2.91482e-06
2.500000;0.01;0.00434964;2.7947e-06
