Q2 (GeV);x;sigma (mb);sigma error (mb)
2.500000;1e-05;0.00126329;8.17351e-07
2.500000;1.1514e-05;0.00122549;7.92867e-07
2.500000;1.32571e-05;0.0011892;7.69485e-07
2.500000;1.52642e-05;0.00115488;7.4784e-07
2.500000;1.75751e-05;0.00112157;7.27005e-07
2.500000;2.02359e-05;0.00108743;7.03688e-07
2.500000;2.32995e-05;0.00105621;6.84765e-07
2.500000;2.6827e-05;0.00102595;6.6515e-07
2.500000;3.08884e-05;0.000994613;6.45e-07
2.500000;3.55648e-05;0.000965368;6.25974e-07
2.500000;4.09492e-05;0.000937906;6.07977e-07
2.500000;4.71487e-05;0.000909423;5.89776e-07
2.500000;5.42868e-05;0.000881829;5.72618e-07
2.500000;6.25055e-05;0.000856077;5.56512e-07
2.500000;7.19686e-05;0.000831186;5.39203e-07
2.500000;8.28643e-05;0.000805341;5.2263e-07
2.500000;9.54095e-05;0.000781751;5.07747e-07
2.500000;0.000109854;0.000759238;4.91493e-07
2.500000;0.000126486;0.000735755;4.76311e-07
2.500000;0.000145635;0.000713366;4.62249e-07
2.500000;0.000167683;0.000692127;4.48834e-07
2.500000;0.00019307;0.000671605;4.3571e-07
2.500000;0.0002223;0.000650633;4.2197e-07
2.500000;0.000255955;0.000631368;4.0977e-07
2.500000;0.000294705;0.000612748;3.98686e-07
2.500000;0.000339322;0.000593493;3.86279e-07
2.500000;0.000390694;0.000575586;3.74574e-07
2.500000;0.000449843;0.000558728;3.6433e-07
2.500000;0.000517947;0.000541249;3.53197e-07
2.500000;0.000596362;0.000524261;3.41925e-07
2.500000;0.000686649;0.000508418;3.31653e-07
2.500000;0.000790604;0.000493199;3.22237e-07
2.500000;0.000910298;0.000477335;3.1168e-07
2.500000;0.00104811;0.000462878;3.02694e-07
2.500000;0.00120679;0.000449069;2.94308e-07
2.500000;0.0013895;0.000434686;2.85134e-07
2.500000;0.00159986;0.000421102;2.76691e-07
2.500000;0.00184207;0.000408066;2.68044e-07
2.500000;0.00212095;0.00039548;2.60369e-07
2.500000;0.00244205;0.000382687;2.51987e-07
2.500000;0.00281177;0.00037089;2.43908e-07
2.500000;0.00323746;0.000359537;2.37022e-07
2.500000;0.00372759;0.00034774;2.29103e-07
2.500000;0.00429193;0.000336822;2.21812e-07
2.500000;0.00494171;0.000326546;2.15645e-07
2.500000;0.00568987;0.000315863;2.08555e-07
2.500000;0.00655129;0.000305587;2.01979e-07
2.500000;0.00754312;0.000295942;1.95743e-07
2.500000;0.00868511;0.000286654;1.90233e-07
2.500000;0.01;0.00027703;1.83941e-07
